text,label
Someone is bleeding at area,urgent
Water level rising I am stuck in apartment,critical
Medical emergency at road,urgent
Any updates about block,low
We are safe but need food at street,medium
Need water supply in area,medium
What is happening in street,low
Need medical help for street,urgent
We need food at my house,medium
Where is nearest shelter from sector,low
Can't move stuck in building,critical
Require basic supplies in road,medium
Help I am stuck in apartment,critical
Urgent medical assistance needed in sector,urgent
Need water supply in area,medium
We need food at road,medium
Need medical help for building,urgent
I am trapped in block,critical
What is happening in zone,low
We need food at village,medium
Any updates about village,low
Any updates about apartment,low
We are safe but need food at street,medium
We need food at road,medium
Where is nearest shelter from road,low
Help I am stuck in road,critical
Need water supply in area,medium
Urgent medical assistance needed in area,urgent
Need water supply in village,medium
We are safe but need food at road,medium
Need medical help for my house,urgent
We need food at building,medium
What is happening in sector,low
Can't move stuck in area,critical
Is rescue team coming to sector,low
Require basic supplies in zone,medium
Need medical help for area,urgent
I am surrounded by building please help,critical
Require basic supplies in village,medium
Need information about street,low
I am trapped in street,critical
I am buried under area,critical
need doc urgent,urgent
Can't move stuck in apartment,critical
my house is injured please send help,urgent
Water level rising I am stuck in zone,critical
Any updates about village,low
Any updates about sector,low
Need water supply in block,medium
Can't move stuck in zone,critical
Can't move stuck in street,critical
Is rescue team coming to apartment,low
We are safe but need food at street,medium
Need medical help for sector,urgent
I am surrounded by zone please help,critical
Require basic supplies in zone,medium
What is happening in block,low
Need information about my house,low
We are safe but need food at apartment,medium
Medical emergency at sector,urgent
Need medical help for zone,urgent
Need information about street,low
Medical emergency at sector,urgent
Need information about my house,low
We are safe but need food at apartment,medium
Need information about village,low
Need medical help for area,urgent
Need medical help for my house,urgent
No electricity in village,medium
Urgent medical assistance needed in apartment,urgent
Urgent medical assistance needed in road,urgent
Where is nearest shelter from my house,low
building is injured please send help,urgent
Need medical help for block,urgent
Need medical help for sector,urgent
I am buried under block,critical
Require basic supplies in area,medium
Urgent medical assistance needed in apartment,urgent
Is rescue team coming to apartment,low
zone is injured please send help,urgent
What is happening in my house,low
Where is nearest shelter from building,low
I am buried under building,critical
Need information about block,low
We need food at my house,medium
plz help stuck,critical
We need food at apartment,medium
Where is nearest shelter from street,low
Require basic supplies in my house,medium
No electricity in block,medium
Is rescue team coming to area,low
Can't move stuck in block,critical
Can't move stuck in area,critical
Need information about zone,low
Is rescue team coming to apartment,low
Medical emergency at apartment,urgent
No electricity in apartment,medium
No electricity in sector,medium
Can't move stuck in building,critical
I am surrounded by apartment please help,critical
I am surrounded by zone please help,critical
Help I am stuck in zone,critical
Is rescue team coming to sector,low
Require basic supplies in building,medium
Need information about apartment,low
Help I am stuck in area,critical
Help I am stuck in apartment,critical
Help I am stuck in apartment,critical
Is rescue team coming to road,low
What is happening in street,low
Water level rising I am stuck in sector,critical
Need medical help for street,urgent
Urgent medical assistance needed in village,urgent
Where is nearest shelter from road,low
Can't move stuck in building,critical
Is rescue team coming to area,low
Urgent medical assistance needed in block,urgent
Require basic supplies in my house,medium
sector is injured please send help,urgent
Require basic supplies in street,medium
What is happening in road,low
Water level rising I am stuck in zone,critical
Need information about apartment,low
Help I am stuck in road,critical
Someone is bleeding at street,urgent
What is happening in apartment,low
water lvl rising fast,critical
Help I am stuck in my house,critical
Any updates about street,low
Require basic supplies in apartment,medium
Can't move stuck in block,critical
I am trapped in area,critical
I am trapped in building,critical
I am buried under apartment,critical
area is injured please send help,urgent
Require basic supplies in area,medium
Medical emergency at village,urgent
I am surrounded by road please help,critical
What is happening in apartment,low
No electricity in block,medium
Need information about zone,low
I am trapped in apartment,critical
Medical emergency at street,urgent
We are safe but need food at area,medium
Where is nearest shelter from sector,low
Where is nearest shelter from street,low
Need water supply in building,medium
Can't move stuck in street,critical
Urgent medical assistance needed in my house,urgent
Medical emergency at area,urgent
Where is nearest shelter from road,low
I am trapped in zone,critical
I am surrounded by building please help,critical
Need information about building,low
road is injured please send help,urgent
rescue coming?,low
Need water supply in block,medium
I am surrounded by apartment please help,critical
We are safe but need food at village,medium
What is happening in apartment,low
I am trapped in sector,critical
Someone is bleeding at street,urgent
I am surrounded by apartment please help,critical
Water level rising I am stuck in area,critical
Medical emergency at village,urgent
Any updates about my house,low
What is happening in road,low
No electricity in building,medium
Need medical help for block,urgent
We are safe but need food at my house,medium
Is rescue team coming to zone,low
Medical emergency at building,urgent
Where is nearest shelter from apartment,low
We are safe but need food at road,medium
Help I am stuck in area,critical
Need water supply in my house,medium
We are safe but need food at village,medium
We are safe but need food at zone,medium
Water level rising I am stuck in area,critical
Can't move stuck in block,critical
Can't move stuck in road,critical
What is happening in village,low
Where is nearest shelter from sector,low
Any updates about block,low
No electricity in zone,medium
What is happening in my house,low
Where is nearest shelter from apartment,low
Someone is bleeding at apartment,urgent
Can't move stuck in road,critical
Need information about block,low
Help I am stuck in my house,critical
Need medical help for zone,urgent
Can't move stuck in village,critical
village is injured please send help,urgent
Help I am stuck in village,critical
Is rescue team coming to area,low
Need water supply in area,medium
I am buried under zone,critical
Where is nearest shelter from apartment,low
street is injured please send help,urgent
Need medical help for village,urgent
I am trapped in block,critical
Help I am stuck in my house,critical
Someone is bleeding at road,urgent
Can't move stuck in area,critical
Require basic supplies in road,medium
Can't move stuck in sector,critical
What is happening in zone,low
Need water supply in area,medium
Where is nearest shelter from area,low
Need information about building,low
Where is nearest shelter from block,low
We are safe but need food at village,medium
I am trapped in building,critical
Require basic supplies in my house,medium
Someone is bleeding at my house,urgent
Water level rising I am stuck in area,critical
I am surrounded by road please help,critical
Urgent medical assistance needed in my house,urgent
Need water supply in area,medium
Is rescue team coming to sector,low
What is happening in my house,low
Where is nearest shelter from zone,low
No electricity in sector,medium
Is rescue team coming to zone,low
Any updates about apartment,low
Help I am stuck in sector,critical
Where is nearest shelter from village,low
I am surrounded by sector please help,critical
Water level rising I am stuck in street,critical
Need water supply in apartment,medium
Where is nearest shelter from building,low
Is rescue team coming to apartment,low
We need food at village,medium
Is rescue team coming to building,low
Help I am stuck in block,critical
What is happening in my house,low
We need food at road,medium
Medical emergency at village,urgent
Can't move stuck in block,critical
Someone is bleeding at area,urgent
I am buried under street,critical
Help I am stuck in block,critical
Urgent medical assistance needed in block,urgent
Is rescue team coming to sector,low
Where is nearest shelter from apartment,low
Someone is bleeding at street,urgent
Is rescue team coming to road,low
Need information about zone,low
We need food at my house,medium
I am trapped in block,critical
I am trapped in street,critical
Require basic supplies in my house,medium
Require basic supplies in road,medium
We are safe but need food at village,medium
Help I am stuck in block,critical
I am trapped in my house,critical
No electricity in road,medium
Someone is bleeding at street,urgent
Urgent medical assistance needed in area,urgent
Require basic supplies in building,medium
Any updates about my house,low
Need water supply in street,medium
Need information about building,low
What is happening in my house,low
block is injured please send help,urgent
Need information about street,low
Is rescue team coming to street,low
Need medical help for zone,urgent
Require basic supplies in apartment,medium
Can't move stuck in road,critical
I am surrounded by building please help,critical
Someone is bleeding at area,urgent
No electricity in sector,medium
We need food at street,medium
I am trapped in road,critical
Any updates about my house,low
Someone is bleeding at street,urgent
Urgent medical assistance needed in street,urgent
apartment is injured please send help,urgent
Urgent medical assistance needed in street,urgent
road is injured please send help,urgent
We are safe but need food at building,medium
No electricity in street,medium
What is happening in block,low
No electricity in village,medium
Require basic supplies in street,medium
Need information about block,low
Is rescue team coming to apartment,low
No electricity in zone,medium
Someone is bleeding at street,urgent
Urgent medical assistance needed in my house,urgent
I am trapped in building,critical
We are safe but need food at village,medium
Help I am stuck in apartment,critical
Any updates about area,low
Need water supply in street,medium
I am trapped in area,critical
Water level rising I am stuck in road,critical
Need medical help for village,urgent
Where is nearest shelter from block,low
I am buried under road,critical
I am trapped in block,critical
Urgent medical assistance needed in sector,urgent
Need information about area,low
I am trapped in my house,critical
I am surrounded by apartment please help,critical
Is rescue team coming to block,low
Can't move stuck in zone,critical
I am surrounded by sector please help,critical
Someone is bleeding at zone,urgent
block is injured please send help,urgent
Urgent medical assistance needed in road,urgent
Can't move stuck in building,critical
Where is nearest shelter from area,low
Need water supply in sector,medium
Where is nearest shelter from road,low
I am buried under sector,critical
Any updates about sector,low
I am trapped in sector,critical
Urgent medical assistance needed in area,urgent
Water level rising I am stuck in village,critical
Need information about my house,low
We are safe but need food at area,medium
Can't move stuck in my house,critical
Where is nearest shelter from village,low
